ROI,Beta_per_year,t,df,p,PartialEta2
Left_HG,-0.0095,-0.28,38,0.779,0.002
Right_HG,-0.0153,-0.57,38,0.575,0.008
Left_PT,-0.0403,-0.94,38,0.351,0.023
Right_PT,-0.0084,-0.31,38,0.76,0.002
Left_PP,-0.0121,-0.3,38,0.764,0.002
Right_PP,0.0006,0.01,38,0.988,0
Left_pSTS,-0.0098,-0.26,38,0.793,0.002
Right_pSTS,0.014,0.43,38,0.67,0.005
