ROI,Beta_per_year,t,df,p,PartialEta2
Left_HG,0.0373,1.02,37,0.317,0.027
Right_HG,0.0416,1.18,37,0.247,0.036
Left_PT,0.0309,0.64,37,0.524,0.011
Right_PT,0.0142,0.37,37,0.71,0.004
Left_PP,-0.0143,-0.37,37,0.714,0.004
Right_PP,0.0537,1.03,37,0.308,0.028
Left_pSTS,0.0586,1.1,37,0.279,0.032
Right_pSTS,0.0676,1.91,37,0.064,0.09
