ROI,F,df1,df2,p,p_FDR,PartialEta2,CohensF,DeltaSlope,CI_low,CI_high
Left_HG,0.03,1,75,0.869,0.916,0,0.019,-0.0117,-0.1529,0.1295
Right_HG,0.06,1,75,0.811,0.916,0.001,0.028,0.0165,-0.1201,0.153
Left_PT,3.62,1,75,0.061,0.488,0.046,0.22,-0.2132,-0.4366,0.0101
Right_PT,0.01,1,75,0.916,0.916,0,0.012,-0.0085,-0.1688,0.1519
Left_PP,0.63,1,75,0.43,0.86,0.008,0.092,-0.0837,-0.2939,0.1264
Right_PP,0.07,1,75,0.786,0.916,0.001,0.031,-0.0355,-0.2949,0.2239
Left_pSTS,1.19,1,75,0.278,0.742,0.016,0.126,0.1379,-0.1136,0.3895
Right_pSTS,2.4,1,75,0.126,0.504,0.031,0.179,0.1542,-0.0443,0.3526
