ROI,Beta_per_year,t,df,p,PartialEta2
Left_HG,0.052,1.46,38,0.152,0.053
Right_HG,0.0223,0.57,38,0.571,0.009
Left_PT,-0.0639,-0.79,38,0.433,0.016
Right_PT,-0.0168,-0.34,38,0.737,0.003
Left_PP,0.0277,0.4,38,0.694,0.004
Right_PP,0.0146,0.16,38,0.875,0.001
Left_pSTS,0.1591,2,38,0.052,0.096
Right_pSTS,0.1414,1.84,38,0.074,0.082
