Measure,ASD_Mean,TD_Mean,T_Stat,DF,P_Value
MedianRT,399.24358974359,391.7375,0.188478047930985,77,0.850997785127514
MeanACC,0.904083570750237,0.976388888888889,-2.4883216561016,77,0.0149946873991944
