Measure,N_used,N_missing_score,N_missing_age,r,p,CI_lo,CI_hi,Spearman_r
Diagnostic Total A,38,1,0,0.187828141280719,0.258788706480179,-0.140278298667783,0.478763866112801,NaN
Diagnostic Total B (Verbal),38,1,0,0.228540379345041,0.16755579738177,-0.0983267852866672,0.510897294442746,NaN
Diagnostic Total C,38,1,0,-0.153587089828698,0.357245791486846,-0.451120760183278,0.174672554270201,NaN
New. Social Affect Total,39,0,0,-0.133855624371975,0.416564274828094,-0.431163050877939,0.189671982479447,NaN
