Measure,N_used,N_missing_score,N_missing_age,r,p,CI_lo,CI_hi,Spearman_r
Diagnostic Total A,38,1,0,0.187828141280719,0.258788706480179,-0.140278298667783,0.478763866112801,NaN
Diagnostic Total B (Verbal),38,1,0,0.228540379345041,0.16755579738177,-0.0983267852866672,0.510897294442746,NaN
Diagnostic Total C,38,1,0,-0.153587089828698,0.357245791486846,-0.451120760183278,0.174672554270201,NaN
New. Social Affect Total,39,0,0,-0.133855624371975,0.416564274828094,-0.431163050877939,0.189671982479447,NaN
WIAT Word Reading,39,0,0,-0.0779024730571762,0.637362435590896,-0.383981430196779,0.243602213004295,NaN
WIAT Reading Comp,39,0,0,0.0925368680060817,0.575278206379187,-0.22968632558711,0.396477967942815,NaN
WASI FSIQ,39,0,0,-0.0580435772549931,0.72559987325105,-0.366842373217905,0.262276741558362,NaN
WASI PIQ,39,0,0,-0.0976596505310414,0.554213518845699,-0.400825937885759,0.224783725657962,NaN
WASI VIQ,39,0,0,-0.00533992474992296,0.974262298452251,-0.320317293419435,0.310700606420965,NaN
