ROI,Group,Test,N,t,df,p
Left_pSTS,ASD,Within,39,-0.200443802077652,38,0.842202446829036
Left_pSTS,TD,Within,40,0.00147672684245932,39,0.998829270843129
Right_pSTS,ASD,Within,39,0.360959451608785,38,0.720128803049927
Right_pSTS,TD,Within,40,1.56918431488302,39,0.12468390608613
Left_OFC,ASD,Within,39,0.94525046631256,38,0.350502998452721
Left_OFC,TD,Within,40,4.05515595863624,39,0.000232137102714402
Left_pSTS,ASD_vs_TD,GroupXTime,79,-0.152068212526826,77,0.879530882027174
Right_pSTS,ASD_vs_TD,GroupXTime,79,-0.826002651504331,77,0.411354636385672
Left_OFC,ASD_vs_TD,GroupXTime,79,-2.16992610471358,77,0.0330962575779277
