Row,ROI,Estimate,SE,tStat,pValue
(Intercept),Left_PP,0.0427808037964994,0.0995172011738808,0.429883510507404,0.66991561687956
Age_c,Left_PP,0.0112068251766048,0.0399400972934785,0.280590833173425,0.780676213349176
SC_c,Left_PP,-0.0623517178429167,0.0385674480821272,-1.61669285741028,0.114923727441342
Age_c:SC_c,Left_PP,0.0404203899252078,0.0187904519872722,2.15111323307107,0.0384511302376902
