Row,ROI,Estimate,SE,tStat,pValue
(Intercept),Right_PP,0.289877007779268,0.138797542998746,2.08848803456043,0.0440947167356962
Age_c,Right_PP,0.0853174018800189,0.0557048159119719,1.5315983094683,0.134611362421084
SC_c,Right_PP,-0.043190642113567,0.053790369608344,-0.802943769080687,0.427426444128515
Age_c:SC_c,Right_PP,0.0448032514420734,0.0262072137972647,1.70957705724329,0.0961975679630276
