ROI,N,Age_mu,SC_mu,SC_p25,SC_p75,beta_Age,beta_SC,beta_AgeSC,p_Age,p_SC,p_AgeSC,R2,R2Adj,Fmodel,pModel,DF1,DF2,RMSE,AIC,BIC,slope25,se25,t25,p25,slope75,se75,t75,p75,SS_Interaction,SS_Error,eta2p_interaction,cohenf_interaction
Left_HG,39,12.607041025641,9.28205128205128,8,10,0.0446348382278494,-0.0308764778461684,0.0135849624404332,0.279739344039297,0.436856879462274,0.482242800806794,0.0552826484346628,-0.0256931245566518,NaN,NaN,NaN,35,0.622943177013,77.5394778948928,84.1937244794114,0.0272182197144734,0.0386561579666941,0.704110836310336,0.486022402851571,0.0543881445953399,0.0476109759491069,1.14234466971392,0.261065526833165,NaN,13.5820370625467,NaN,NaN
Right_HG,39,12.607041025641,9.28205128205128,8,10,0.0531999156130415,-0.0402201230838617,0.020249059446394,0.175494252437713,0.286384921343416,0.270884649994565,0.0942479712100115,0.0166120830280125,NaN,NaN,NaN,35,0.589524634263565,73.2386516139588,79.8928981984773,0.0272395829894594,0.0365824014585432,0.744608934991009,0.46147883589691,0.0677377018822474,0.0450568273625106,1.50338374553661,0.141710635041921,NaN,12.1638753041256,NaN,NaN
Left_PT,39,12.607041025641,9.28205128205128,8,10,0.0294898341348775,-0.0756695454772832,0.0100486492250979,0.575725055750345,0.142278857796405,0.684909646183875,0.0730332769329355,-0.00642101361566993,NaN,NaN,NaN,35,0.799870347756816,97.0390366683245,103.693283252843,0.0166069505129571,0.0496352085659279,0.334580048976705,0.739938717169972,0.0367042489631529,0.0611333574148108,0.600396420469794,0.552110212316236,NaN,22.3927400627213,NaN,NaN
Right_PT,39,12.607041025641,9.28205128205128,8,10,0.00726800673925743,-0.0190682651995471,-0.00542902127324481,0.864905329813176,0.644346013897413,0.787128916440832,0.0125849703947754,-0.0720506035713866,NaN,NaN,NaN,35,0.649793070091111,80.830972791264,87.4852193757826,0.0142282904229046,0.0403223030446337,0.352864031778021,0.726306691635555,0.003370247876415,0.0496630886629947,0.0678622286117752,0.946281515256633,NaN,14.7780861878451,NaN,NaN
Left_PP,39,12.607041025641,9.28205128205128,8,10,0.0112068251766048,-0.0623517178429167,0.0404203899252078,0.780676213349176,0.114923727441342,0.0384511302376902,0.164737298060731,0.0931433521802224,NaN,NaN,NaN,35,0.611998941946886,76.1569472143269,82.8111937988455,-0.0406141875480206,0.0379770236649607,-1.06944103640995,0.292191297159427,0.040226592302395,0.0467745180959001,0.860010833674864,0.395635861872931,NaN,13.1089946730438,NaN,NaN
Right_PP,39,12.607041025641,9.28205128205128,8,10,0.0853174018800189,-0.043190642113567,0.0448032514420734,0.134611362421084,0.427426444128515,0.0961975679630276,0.113557444657521,0.0375766541995944,NaN,NaN,NaN,35,0.853560474551957,102.10644279948,108.760689383998,0.0278773359286427,0.0529668993191626,0.526316176460741,0.601988146729522,0.11748383881279,0.0652368445864741,1.80088168821624,0.0803436615999981,NaN,25.4997919301077,NaN,NaN
