Row,ROI,Estimate,SE,tStat,pValue
(Intercept),Left_PT,0.220240971727781,0.130066986811303,1.69328879777387,0.0992842942563442
Age_c,Left_PT,0.0294898341348775,0.0522009064426591,0.564929541353293,0.575725055750345
SC_c,Left_PT,-0.0756695454772832,0.0504068814423233,-1.50117490533244,0.142278857796405
Age_c:SC_c,Left_PT,0.0100486492250979,0.0245587440359849,0.409167879691813,0.684909646183875
