Term,F,p,PartialEta2
Model,5.31456021675594,0.00224377144753748,0.0876093939881108
. Linear,0.722136488033498,0.489059362839763,0.0086232169658989
. Nonlinear,14.4994076742008,0.000284615915266367,0.0803105754386084
. Lack of fit,10.2644973640349,0.244178093796537,0.310866796376167
