Term,F,p,PartialEta2
Model,7.71941566774449,0.000146202136232193,0.117442338334499
. Linear,0.658720140415026,0.520481197552141,0.00751331410915262
. Nonlinear,21.8408067224034,1.27746521366916e-05,0.111506195399646
. Lack of fit,1.14912258178626,0.646074309574139,0.298713677135613
