ROI,F,df1,df2,p,PartialEta2,CohensF
Left_AI,23.8361434933697,1,75,5.76768169883285e-06,0.241168287742517,0.563751050179299
Left_OFC,21.8408067224034,1,75,1.27746521366915e-05,0.225533093554359,0.539639468811087
Left_DLPFC,12.3225509353113,1,75,0.00076092358831952,0.141115333935216,0.405340201728726
Left_Putamen,14.4994076742008,1,75,0.000284615915266368,0.162005627199033,0.439687884363455
Left_Precun,7.56491801917136,1,75,0.00745574135699598,0.091623878526892,0.31759340923412
Right_AG,11.1352600734927,1,75,0.00132016197305605,0.129276443398346,0.385318224735394
