ROI,n,R2,R2_adj,b_SC,se_SC,t_SC,df,p_SC,partial_R2_SC,cohen_f2_SC,cohen_f_SC,dR2_add_SC,F_change_SC,p_change_SC,beta_SC_std,Age_mean,SC_mean,q_SC
Left_AI,39,0.313228565255573,0.254362442277479,-0.121397723538154,0.0307349714256243,-3.94982386210852,35,0.000360884378080351,0.308315548637254,0.445745958333769,0.667642088497848,0.306125591336412,15.6011085416819,0.000360884378080351,-0.559942668802554,12.607041025641,9.28205128205128,0.000904500310386247
Left_BA44,39,0.340384327539708,0.283845841328826,-0.109854241365904,0.0302379747943516,-3.63298938216011,35,0.000889362006109784,0.273838007860488,0.37710319573966,0.614087286743228,0.248743178044741,13.1986118508881,0.000889362006109784,-0.504741871591049,12.607041025641,9.28205128205128,0.000904500310386247
Left_pSTG,39,0.311364401397885,0.252338492946275,-0.0904155131451066,0.0249286189744655,-3.62697641765553,35,0.000904500310386247,0.273179720189903,0.375855940977981,0.613070910236313,0.258827780903533,13.1549579342293,0.000904500310386247,-0.514871898445495,12.607041025641,9.28205128205128,0.000904500310386247
