ROI,F,df1,df2,p,PartialEta2,CohensF
Left_AI,15.6807900108802,1,75,0.000169138598373838,0.172922953240689,0.45724960376699
Left_OFC,18.9001840199952,1,75,4.27339346435834e-05,0.201279520559519,0.50199845975853
Left_Precun,16.7231324712944,1,75,0.000107632657957751,0.182321863860548,0.472202392642454
Right_AG,11.2306471518979,1,75,0.00126248135878624,0.130239625038587,0.3869650656394
Left_DLPFC,22.8606126334431,1,75,8.48846167580916e-06,0.233603816880569,0.552094347413472
