Term,F,p,PartialEta2
Model,7.80746307979765,0.000132703418993549,0.118800993924133
. Linear,3.3496283840493,0.0404220573054669,0.0371287003178899
. Nonlinear,16.7231324712944,0.000107632657957752,0.0878051755276455
. Lack of fit,3.23773436762484,0.419941732650634,0.300650314208728
