ROI,Beta_per_year,t,df,p,PartialEta2
Left_HG,0.0264,0.45,37,0.658,0.005
Right_HG,-0.0357,-0.78,37,0.442,0.016
Left_PT,0.1184,1.61,37,0.116,0.065
Right_PT,-0.0226,-0.37,37,0.711,0.004
Left_PP,0.1258,1.77,37,0.086,0.078
Right_PP,-0.0036,-0.04,37,0.967,0
Left_pSTS,-0.0374,-0.45,37,0.655,0.005
Right_pSTS,-0.0804,-1.42,37,0.163,0.052
