ROI,Beta_per_year,t,df,p,PartialEta2
Left_HG,0.0616,1.73,38,0.092,0.073
Right_HG,0.0376,0.92,38,0.362,0.022
Left_PT,-0.0236,-0.28,38,0.779,0.002
Right_PT,-0.0084,-0.19,38,0.854,0.001
Left_PP,0.0398,0.64,38,0.526,0.011
Right_PP,0.014,0.16,38,0.872,0.001
Left_pSTS,0.1689,2.19,38,0.035,0.112
Right_pSTS,0.1274,1.87,38,0.069,0.084
