ROI,F,df1,df2,p,p_FDR,PartialEta2,CohensF,DeltaSlope,CI_low,CI_high
Left_HG,0.26,1,75,0.609,0.812,0.004,0.059,0.0351,-0.1011,0.1714
Right_HG,1.43,1,75,0.235,0.471,0.019,0.138,0.0733,-0.0487,0.1954
Left_PT,1.62,1,75,0.207,0.471,0.021,0.147,-0.1421,-0.3645,0.0804
Right_PT,0.04,1,75,0.852,0.886,0,0.022,0.0141,-0.1356,0.1638
Left_PP,0.83,1,75,0.365,0.584,0.011,0.105,-0.086,-0.2739,0.1019
Right_PP,0.02,1,75,0.886,0.886,0,0.017,0.0176,-0.2256,0.2607
Left_pSTS,3.32,1,75,0.073,0.29,0.042,0.21,0.2063,-0.0194,0.432
Right_pSTS,5.45,1,75,0.022,0.178,0.068,0.27,0.2078,0.0305,0.385
